9 5 5 3 9 1 5 7 9 3 9 1 3 9 5 3 
c 5 3 a a c 5 5 2 a a a c 6 d 2 
9 1 2 a c 3 9 5 6 a a e 9 3 d 2 
a a a c 5 6 8 1 7 a a 9 6 c 5 6 
a a a 9 5 3 e c 3 a a a 9 5 5 3 
a a e a b 8 3 9 6 a a 8 6 9 5 6 
a c 7 a a a a e d 4 6 e b a 9 3 
c 3 9 6 a a e 9 3 d 5 3 c 2 a a 
9 6 a b a 8 7 c 2 b d 4 3 c 6 a 
a 9 4 2 a 8 7 9 6 a d 5 4 5 3 a 
c 6 b c 6 a b c 3 a 9 3 9 3 c 2 
9 5 4 5 3 c 2 9 6 c 6 c 6 c 5 2 
a b b b c 3 c 6 b 9 5 3 b b b a 
c 4 4 4 3 c 3 b a c 3 8 6 8 6 a 
9 3 b b c 3 8 6 8 3 a a b a d 2 
e c 4 4 5 6 c 5 6 c 6 c 4 4 5 6 
