9 5 1 1 5 1 5 5 5 5 5 1 1 1 1 3 
8 7 c 0 7 e d 3 9 1 3 e e e e a 
8 7 9 4 5 1 5 2 a e c 5 5 5 5 6 
8 5 0 3 9 0 5 0 4 1 1 3 d 3 9 3 
8 5 2 8 2 e b a b a a 8 3 a e a 
8 5 2 a c 7 c 0 4 2 a a a 8 5 2 
8 5 0 0 1 1 3 c 5 0 2 a e a d 2 
8 5 2 a a a a 9 3 a 8 2 d 2 d 2 
8 7 a 8 6 e a c 2 a e 8 5 2 d 2 
8 5 2 8 3 9 4 7 a a 9 2 d 4 5 2 
a 9 6 a 8 6 9 5 0 4 6 a d 5 5 2 
8 4 5 0 6 d 2 b a b b a d 5 5 2 
8 5 1 4 5 3 a c 2 c 0 0 5 5 5 6 
8 5 6 9 1 6 8 5 6 b a 8 5 7 b b 
8 7 9 2 a 9 4 5 5 6 8 0 3 d 2 a 
e d 6 e c 4 5 5 5 5 4 6 c 5 4 6 
