d 5 5 1 5 1 5 5 5 1 5 5 5 5 5 7 
b 9 5 4 5 4 5 7 d 4 5 5 5 5 3 b 
a a 9 5 5 1 1 5 3 d 1 5 1 1 2 a 
8 6 8 5 5 6 c 5 4 5 6 d 2 a a a 
8 3 a 9 5 5 5 1 3 9 3 9 6 e 8 2 
a 8 6 8 5 3 9 6 c 6 a a b 9 2 a 
a 8 3 c 3 a a f 9 3 a c 2 a a a 
a a a 9 6 a a 9 2 8 6 b a a a a 
8 2 8 2 d 0 2 c 0 0 5 0 0 2 8 2 
a a a c 3 a a d 2 8 3 e a a a a 
a 8 6 9 6 a a f c 6 a 9 2 a a a 
a 8 3 8 5 6 c 3 9 3 a a e c 2 a 
8 6 a c 5 5 5 4 6 c 6 c 3 b a a 
8 3 8 5 5 3 9 5 1 5 3 d 2 a a a 
a a c 5 1 4 4 5 6 d 4 5 4 4 4 2 
e c 5 5 4 5 5 5 5 5 5 5 5 5 5 6 
