b 9 3 9 5 3 9 5 5 5 1 5 5 7 9 3 
a a a a 9 0 4 1 1 5 0 3 9 5 2 a 
a a a 8 6 c 1 6 c 5 2 a 8 3 a a 
a 8 2 8 5 5 4 3 9 5 2 a a a a a 
a a 8 6 9 5 5 0 2 9 2 a a a 8 2 
8 2 a 9 2 9 1 6 a a 8 2 a 8 2 a 
a a c 2 a a 8 5 4 6 e c 2 a a a 
a 8 1 6 e c 6 9 3 9 5 1 4 6 a a 
a a c 1 1 1 3 c 4 4 5 0 1 3 a a 
a a 9 2 a a 8 5 5 5 7 a a a a a 
a 8 2 a a a 8 1 3 9 3 8 0 4 0 2 
a a a c 0 4 6 a a a a a 8 3 a a 
a a 8 5 0 5 5 2 8 2 8 0 2 a a a 
a 8 2 9 4 1 5 4 2 8 2 a a a a a 
a a 8 2 b a d 3 a a a a a a a a 
e c 6 c 6 c 5 6 c 6 c 6 e c 4 6 
