9 5 5 5 1 5 1 5 5 1 5 1 5 5 5 3 
a 9 5 7 a b a d 7 a b a d 5 3 a 
a a 9 5 6 a c 5 3 a a c 5 3 a a 
a e a 9 5 6 9 5 2 a c 5 3 a e a 
8 5 6 a 9 5 6 f a 8 5 3 a c 5 2 
a d 5 6 a 9 5 5 6 a b a c 5 7 a 
c 5 1 5 6 a 9 5 5 2 e 8 5 5 5 2 
9 3 8 5 5 6 a 9 3 8 5 6 9 5 3 a 
c 6 a d 5 3 a 8 6 a 9 5 2 f a a 
9 5 4 5 3 a c 4 5 6 a 9 6 d 4 2 
a d 5 3 a c 5 3 9 5 6 a 9 5 7 a 
c 5 3 a c 5 3 a a 9 5 6 a 9 5 2 
d 7 a c 5 3 a e a a 9 5 6 a b a 
9 5 4 5 3 a 8 5 4 2 a 9 5 6 a a 
a f b b a e a 9 3 a e a d 5 6 a 
e d 6 e c 5 6 c 6 c 5 4 5 5 5 6 
