9 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 
8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 
8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 
8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 
8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 
8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 
8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 
8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 
8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 
8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 
c 4 4 4 4 4 4 4 4 4 0 0 0 0 0 2 
9 3 9 5 5 5 5 5 5 3 8 0 0 0 0 2 
a 8 6 9 5 5 1 5 5 2 8 0 0 0 0 2 
a e b 8 5 3 c 1 3 a 8 0 0 0 0 2 
a b a c 5 0 3 a a a 8 0 0 0 0 2 
e c 4 5 5 6 c 6 c 6 c 4 4 4 4 6 
