d 5 5 7 d 5 1 5 5 5 1 5 5 5 1 7 
9 5 5 1 5 5 2 d 5 7 a d 7 9 4 3 
a d 7 e 9 5 4 5 5 3 8 1 5 2 b a 
a 9 5 3 c 5 5 5 7 a e a f a a a 
a a b a 9 5 1 5 1 4 1 0 7 a e a 
a a a a a b a b a b e 8 7 c 5 2 
a e e a a a a e e c 7 8 1 3 b a 
c 5 5 2 a a e 9 3 d 5 2 a a a a 
9 3 b a a e 9 4 6 d 7 a a a e a 
a a a a 8 5 6 d 5 5 5 2 a 8 1 2 
a a e a a f b d 5 5 7 a a a a a 
a c 5 6 c 5 4 5 5 5 5 6 c 6 a e 
a d 5 3 9 5 5 5 1 5 5 5 3 d 2 b 
8 5 3 a a d 5 7 a d 5 7 a b a a 
a b a e c 5 5 3 a d 5 5 6 e a a 
e e c 5 5 5 5 6 c 5 5 5 5 5 6 e 
