b 9 5 1 5 1 7 9 5 5 5 5 5 1 1 3 
a 8 3 8 5 0 7 c 5 5 5 5 3 a a a 
a a a c 5 4 5 5 5 5 5 5 6 8 6 a 
8 2 a 9 5 1 5 1 5 5 5 5 3 a 9 6 
a a a 8 5 0 5 0 7 9 1 1 2 a a b 
a a a 8 5 0 5 4 7 a a a a a c 2 
8 2 a c 5 2 9 5 3 a a a a a b a 
a a 8 7 d 0 2 9 2 8 0 0 2 a 8 2 
a a c 1 7 e a c 6 a a a a a a a 
8 2 9 4 1 7 e 9 5 2 a a a a a a 
a a 8 1 4 3 b c 5 4 4 4 2 a 8 2 
a a e c 3 8 2 9 3 9 3 b a a a a 
a c 5 3 c 2 8 2 8 2 8 0 6 a a a 
8 5 3 a d 4 6 c 6 c 6 c 5 6 c 2 
a b a c 5 5 1 5 5 1 5 5 5 5 1 2 
e c 4 5 5 5 4 5 5 4 5 5 5 5 6 e 
