b b 9 3 9 3 9 5 1 5 5 5 5 5 5 7 
a 8 6 c 6 c 2 d 0 7 b b b b b b 
a 8 3 9 5 5 2 d 0 7 8 0 0 0 0 2 
8 2 a 8 5 5 2 d 0 7 a e e e e a 
a a e 8 5 3 a d 0 7 a 9 1 5 1 2 
a a 9 0 3 a a d 0 7 a a e 9 6 a 
a a a a a e a d 4 5 6 e 9 6 d 2 
a 8 4 0 4 3 a 9 3 d 5 1 6 d 5 2 
a 8 1 0 1 6 a c 4 5 5 2 9 3 9 2 
a a a a a b a b b b b a a a a a 
a a c 0 6 a a a a a a a a a a a 
8 2 b 8 5 6 a a a a a c 6 c 6 a 
a a a 8 5 5 2 8 4 0 4 3 b b b a 
a 8 6 c 5 5 2 a d 0 5 0 0 0 0 2 
a 8 3 9 3 9 2 a d 0 5 6 e e e e 
e e c 6 c 6 c 4 5 4 5 5 5 5 5 7 
