b 9 5 5 5 7 9 5 5 1 5 5 5 7 9 3 
a a 9 5 5 1 2 d 7 8 5 5 5 5 2 a 
8 2 8 1 1 6 c 3 9 4 5 5 5 5 2 a 
a a a a a d 7 a 8 5 5 5 5 7 a a 
a a a a a 9 5 2 a 9 1 5 3 9 2 a 
a 8 2 c 4 2 f c 6 a a f 8 6 a a 
a a c 5 7 e 9 5 5 2 e 9 6 9 6 a 
8 2 d 5 5 3 a 9 3 a d 0 5 0 5 2 
a a 9 5 3 a 8 4 6 a b c 3 c 3 a 
a 8 6 9 2 a c 5 5 4 2 f 8 3 a a 
a 8 5 6 a 8 3 9 7 b c 1 6 c 2 a 
a a b d 6 a a a b 8 3 c 3 f a a 
a a e 9 5 2 a a e a a b a 9 2 a 
a 8 5 6 f a a 8 5 2 a a a a a a 
a 8 5 5 5 4 2 a f a c 4 0 6 c 6 
e c 5 5 5 7 c 4 5 4 5 7 c 5 5 7 
