9 5 1 5 5 5 1 1 7 d 1 5 5 1 5 3 
a 9 6 9 5 5 6 c 5 5 6 9 5 4 3 a 
8 6 9 6 9 5 5 3 d 5 1 4 5 3 8 2 
a 9 6 f a f 9 4 7 9 4 5 3 8 2 a 
a a 9 5 6 9 6 9 5 4 1 3 8 6 c 2 
a a a f 9 6 9 4 5 5 2 8 6 b 9 6 
8 4 6 9 6 b 8 5 5 3 8 0 7 8 6 b 
a 9 5 6 9 2 a 9 3 8 2 a 9 6 b a 
e a b b a a a 8 6 a 8 6 a 9 0 2 
b a 8 2 a a c 4 5 4 6 9 6 a a a 
8 6 a a a c 5 5 1 7 9 6 f a a a 
a 9 2 a c 5 3 9 6 9 6 9 5 6 a a 
a a a c 5 5 6 c 1 6 f a f 9 6 a 
a e c 5 1 5 5 7 c 5 5 6 9 6 9 2 
8 5 1 5 6 9 5 5 5 1 5 1 6 9 6 a 
e d 4 5 5 4 5 5 5 4 5 4 5 4 5 6 
