b 9 1 1 5 5 5 5 5 5 5 5 5 5 5 3 
a a a a 9 1 5 5 5 5 5 1 1 1 3 a 
a a a a a 8 5 5 5 5 5 2 a a a a 
a a a a a a 9 5 5 5 5 2 a a a a 
8 2 a a a a 8 5 1 5 3 a a a a a 
a a a a a a 8 5 4 3 a a a a a a 
a a a 8 2 a 8 5 5 2 a a a a a a 
a a a a a a a 9 1 2 a c 0 0 4 2 
8 2 a a a a a c 6 a a 9 2 8 3 a 
a a 8 2 a a 8 5 5 6 a a a a a a 
a a a a a a c 5 5 5 4 0 6 c 2 a 
a a a a a c 5 5 5 5 1 4 7 9 6 a 
8 2 a c 4 5 5 5 5 5 4 5 7 c 3 a 
a a 8 5 5 5 5 5 5 1 3 9 3 9 2 a 
a a c 5 5 5 5 5 1 6 c 6 c 6 e e 
e c 5 5 5 5 5 5 4 5 5 5 5 5 5 7 
