9 3 9 5 5 5 5 5 1 1 5 5 5 5 1 3 
a a c 3 9 5 5 7 a 8 5 5 5 3 a a 
a c 1 6 c 5 5 5 6 a d 5 5 2 a a 
a 9 2 9 5 1 5 5 5 4 5 5 5 6 a a 
a a c 0 3 8 5 5 5 5 5 1 3 9 2 a 
a c 3 a a 8 5 1 5 5 3 a a e a a 
8 1 6 a a a 9 6 9 3 c 2 8 5 6 a 
a c 3 a a a a 9 2 c 3 a c 3 9 2 
a 9 2 a a a a c 6 9 6 c 3 a a a 
a a a c 6 a c 5 3 c 3 9 6 a a a 
a a a d 5 4 5 3 c 3 8 6 9 2 a a 
a a 8 5 3 9 3 c 3 c 2 9 6 a a a 
c 2 c 7 a a c 3 c 1 4 4 5 6 a a 
9 2 d 5 2 c 3 c 3 c 5 5 5 5 2 a 
a 8 5 5 6 b c 3 c 5 5 5 5 5 6 a 
e c 5 5 5 4 5 4 5 5 5 5 5 5 5 6 
