9 5 5 5 5 5 5 5 5 5 5 5 5 5 1 3 
a b d 5 5 5 5 5 1 5 5 5 3 b a a 
a 8 1 5 3 b d 1 4 5 5 5 0 0 0 2 
8 2 a 9 4 0 5 4 5 7 9 1 2 a a a 
a 8 2 a 9 2 9 5 5 5 2 a 8 2 a a 
a a a a a 8 2 d 5 3 8 0 2 8 0 2 
a a a a a a 8 5 5 0 2 a 8 2 a a 
a 8 2 a a a a 9 3 a a a a a 8 2 
a a a a a a a c 2 a a 8 2 a a a 
a 8 2 a a a a d 4 2 a a 8 2 8 2 
a a 8 2 a a c 5 5 4 6 c 2 a a a 
8 2 a a c 4 5 5 5 5 5 7 c 2 a a 
a 8 4 2 d 5 5 5 5 1 3 d 5 2 a a 
a a 9 0 3 d 7 9 5 2 c 5 5 6 a a 
a a a a c 5 5 4 1 4 5 5 5 5 2 a 
e c 4 4 5 5 5 5 4 5 5 5 5 5 4 6 
