9 5 5 5 5 5 5 1 5 1 1 3 9 1 1 3 
a d 1 1 1 3 b a d 2 a a e a a a 
a b a a a a a a d 6 e 8 5 6 e a 
a a a a a a a 8 5 5 5 0 5 5 3 a 
a 8 2 a a a a a d 5 5 0 5 5 2 a 
a a a 8 0 0 2 a 9 5 5 0 5 5 2 a 
a e a a a a a e c 5 5 4 5 5 6 a 
8 5 0 2 a a a 9 3 d 5 5 5 5 3 a 
a b a a a a a 8 6 d 5 5 5 5 4 2 
a a a a a a a a d 5 5 1 5 5 3 a 
a a a 8 0 0 2 a d 5 5 0 5 5 2 a 
a 8 2 a a a a a d 5 5 0 5 5 0 2 
a a a a a a 8 2 9 5 5 0 5 5 6 a 
a e a a a a a 8 0 7 b 8 5 3 b a 
a 9 4 4 4 6 e e c 7 a e b a a a 
e c 5 5 5 5 5 5 5 5 4 5 4 4 4 6 
