b 9 5 5 5 5 5 5 5 1 5 5 1 5 5 3 
a a d 5 5 5 5 1 5 4 5 1 4 5 3 a 
8 6 9 5 5 5 5 4 5 5 3 c 5 3 a a 
8 3 a 9 5 7 d 5 5 5 4 5 7 a a a 
a a a a 9 5 5 7 d 5 5 3 b a a a 
a a a a a 9 5 7 d 5 3 a a a 8 2 
a a a a a a 9 5 5 3 a 8 2 a a a 
a a a a a a a 9 3 a a a a a a a 
a a 8 0 0 2 c 4 6 a 8 2 a a a a 
a a a a a a d 5 1 6 a a a 8 2 a 
a a a a e e d 5 4 5 6 a a a a a 
a a a a d 5 5 5 1 5 5 6 a a 8 2 
8 6 a c 5 5 5 5 4 5 5 5 6 a a a 
8 3 c 5 5 5 5 5 1 5 5 5 7 e e a 
a a d 5 1 5 5 7 c 5 5 5 5 5 5 2 
e c 5 5 4 5 5 5 5 5 5 5 5 5 5 6 
