b b 9 5 5 1 5 5 5 5 5 5 5 7 9 3 
a a a 9 3 8 5 3 9 5 1 5 5 1 2 a 
a a 8 2 a 8 7 8 2 9 4 5 7 a a a 
a a a a a a 9 2 8 0 5 5 5 2 a a 
a 8 2 8 4 6 a 8 6 c 5 5 7 8 2 a 
a a a c 1 5 4 0 5 1 7 9 5 2 a a 
a a 8 5 4 5 3 c 5 6 9 4 7 a a a 
8 2 c 5 5 5 6 9 1 1 4 5 7 c 4 6 
a a 9 5 5 5 3 c 6 c 1 5 7 9 1 3 
a a 8 5 1 5 6 9 5 3 c 1 7 a a a 
a a a 9 4 5 1 0 5 4 7 c 5 2 a a 
a 8 2 8 1 3 a 8 3 9 5 5 7 8 2 a 
a a a a a a c 2 8 0 5 5 5 2 a a 
a a 8 2 a 8 7 8 2 c 1 5 7 a a a 
a a a c 6 8 5 6 c 5 4 5 5 4 2 a 
e e c 5 5 4 5 5 5 5 5 5 5 7 c 6 
