9 5 5 5 3 9 5 5 5 5 1 3 9 5 5 3 
c 1 5 3 a c 1 7 9 5 2 8 2 9 3 a 
9 2 9 2 8 5 0 5 0 5 2 a a a a a 
a a a 8 0 5 0 5 0 5 0 2 a a a a 
a a e a c 5 0 5 0 5 2 a a a a a 
a c 5 2 d 1 4 7 e d 6 e a a a a 
a 9 3 a b a 9 1 5 5 1 1 6 a a a 
a a c 6 a a a 8 3 b a a 9 2 a a 
a a 9 1 6 a a c 6 a a a a a a a 
a a a c 1 6 c 5 5 2 a a a a a a 
a a c 3 c 3 9 5 3 a a a a a a a 
a 8 3 c 3 c 2 d 2 a a e a a a a 
c 2 8 3 c 3 8 5 6 a a d 6 a a a 
9 2 a c 5 6 c 5 5 6 c 5 5 6 a a 
a a c 5 5 5 5 5 3 9 1 5 5 5 6 a 
e c 5 5 5 5 5 5 4 6 c 5 5 5 5 6 
