b 9 1 5 3 9 3 9 5 5 5 5 5 7 9 3 
a a a f a a a 8 5 1 5 5 5 3 a a 
a a 8 1 4 6 c 4 3 8 1 1 1 2 a a 
a 8 6 c 5 1 1 3 a a a a a 8 2 a 
8 0 5 1 5 2 a 8 4 2 a a a a a a 
a a b a b a a c 3 a a a a a 8 2 
a a a a e a 8 5 4 6 e 8 6 a a a 
8 4 6 c 5 6 e 9 3 9 5 4 5 2 a a 
8 1 3 9 5 1 3 c 4 4 5 1 5 2 a a 
a a a a b a 8 5 1 3 b 8 3 a a a 
a a e a e a a 9 6 a a a a a 8 2 
8 0 5 4 5 6 a 8 1 2 a a a a a a 
a 8 3 9 5 5 4 6 a a a a a 8 2 a 
a a 8 4 1 3 9 1 6 8 4 4 4 2 a a 
a a a f a a a 8 5 4 5 5 5 6 a a 
e c 4 5 6 c 6 c 5 5 5 5 5 7 c 6 
