9 3 9 5 5 5 5 5 5 5 5 5 5 5 5 3 
a a a 9 5 5 5 5 5 5 5 5 5 5 3 a 
a a a a 9 5 5 5 5 5 5 5 5 3 a a 
a a a a c 5 5 5 5 5 5 5 3 a a a 
a a a a 9 5 5 5 5 5 5 5 6 a a a 
a a a a c 5 5 5 5 5 5 5 3 a a a 
a a a a d 1 3 9 5 5 5 3 a a a a 
a a a a 9 6 a 8 3 9 5 6 a a a a 
a a a a c 3 a c 6 c 5 3 a a a a 
a a a a 9 6 c 5 5 5 5 6 a a a a 
a a a a c 5 5 5 5 5 5 3 a a a a 
a a a a 9 5 5 5 5 5 5 6 a a a a 
a a a a c 5 5 5 5 5 5 5 6 a a a 
a a a c 5 5 5 5 5 5 5 5 5 6 a a 
a a c 5 5 5 5 5 5 5 5 5 5 5 6 a 
e c 5 5 5 5 5 5 5 5 5 5 5 5 5 6 
