9 3 9 5 5 5 5 5 5 5 5 5 5 5 5 3 
a a 8 7 9 5 5 5 5 5 5 5 5 5 3 a 
a a a d 0 7 9 5 5 5 5 5 5 3 c 6 
a a a d 0 7 a 9 5 5 5 5 3 c 3 b 
a a a d 0 7 a c 5 3 d 1 2 b 8 2 
a a a 9 4 7 a b 9 6 9 2 e 8 6 a 
a a a c 5 5 0 4 6 9 2 e 9 4 1 6 
a a a 9 3 d 2 9 1 2 e 9 4 5 0 7 
a a a a a 9 6 8 6 e 9 4 7 b c 3 
a a a a c 6 9 4 7 9 4 7 9 4 3 a 
a a a a b 9 4 7 9 4 7 9 0 7 a a 
a a a a 8 4 7 9 4 7 9 6 c 3 a a 
a a a 8 4 7 9 4 7 9 4 3 9 2 a a 
a a a e b d 0 7 9 0 3 8 2 a a a 
a a a 9 4 3 c 5 6 e c 6 c 2 a a 
e c 4 4 7 c 5 5 5 5 5 5 5 6 c 6 
