9 5 5 5 5 5 5 5 5 5 5 5 5 5 5 3 
a 9 3 9 3 9 5 5 5 5 5 5 1 5 1 2 
8 2 c 6 c 2 b 9 3 9 3 9 6 9 6 a 
a c 5 5 3 a 8 2 8 2 8 6 9 6 b a 
c 5 3 9 6 a a c 6 c 6 9 6 9 2 a 
9 3 a c 3 a 8 3 9 5 3 c 5 6 a a 
a a 8 7 a a e c 6 9 4 5 1 3 a a 
a 8 6 9 6 a b 9 3 8 5 1 2 a a a 
a e 9 6 b a 8 4 6 e 9 6 a a a a 
c 1 6 9 2 a 8 5 5 5 4 3 a a a a 
d 0 7 a a a c 5 5 5 5 4 2 c 2 a 
d 0 7 a a 8 5 5 5 5 1 3 e 9 6 a 
d 0 7 a a e 9 5 3 9 2 8 3 c 3 a 
9 4 5 6 c 1 4 3 c 6 c 2 c 3 a a 
8 3 9 3 9 2 d 4 5 5 5 0 5 2 a a 
e c 6 c 6 c 5 5 5 5 5 4 5 6 c 6 
