9 1 1 1 5 1 5 5 5 5 5 5 5 5 5 3 
a a a c 3 8 1 5 5 1 5 1 1 1 1 6 
a a a b a a 8 5 5 4 3 e e e a b 
a 8 6 a c 2 a d 5 5 4 5 1 1 0 6 
a 8 7 8 7 a 8 3 9 1 3 b e e a b 
a 8 7 8 5 2 a e a e a a 9 3 a a 
a 8 7 8 5 0 0 5 4 7 c 6 a a 8 6 
a 8 7 8 5 2 a 9 3 b 9 3 a a 8 3 
a 8 7 a 9 2 a 8 6 a a a a a a a 
a 8 7 8 6 a a 8 5 4 2 a a a a a 
a 8 1 6 9 6 a c 5 5 4 2 a a a a 
a a a 9 6 9 6 9 5 5 5 4 2 a a a 
a a 8 6 9 6 b c 5 5 5 5 4 2 c 2 
8 0 6 9 6 9 2 9 5 5 5 5 5 4 3 a 
a e 9 6 9 6 a c 5 5 5 5 5 5 2 a 
e d 4 5 6 d 4 5 5 5 5 5 5 5 4 6 
