9 1 5 5 5 1 5 5 5 5 5 5 5 5 5 3 
a a d 5 3 a d 5 1 5 3 d 5 5 1 2 
a 8 3 d 4 0 5 5 0 5 4 5 5 3 a a 
a a 8 1 5 2 b d 4 5 5 3 b a 8 2 
8 2 a a 9 4 4 1 5 3 b 8 2 a a a 
a a a 8 2 9 5 4 5 4 0 2 a a 8 2 
a a a a a a 9 5 5 3 a 8 2 a a a 
a a c 2 8 0 2 9 3 c 4 2 c 2 a a 
a a 9 2 a a a c 4 1 1 0 1 2 a a 
8 2 a a 8 2 a d 5 2 a a a a a a 
a a a a a a c 5 1 4 6 a 8 0 2 a 
8 0 2 a 8 4 5 1 4 5 5 6 a a a a 
a a a c 2 d 5 4 5 5 5 1 4 2 a a 
a a a d 4 5 5 5 5 3 9 2 d 4 2 a 
a a c 5 5 5 7 9 5 4 2 c 5 5 4 2 
e c 5 5 5 5 5 4 5 5 4 5 5 5 5 6 
