b b 9 5 5 7 9 5 1 5 5 7 9 5 1 3 
a a 8 5 1 5 4 3 8 5 5 1 2 b a a 
8 2 a b a d 7 a 8 5 3 a a a a a 
a a a e 8 1 5 4 2 f 8 4 4 2 a a 
8 2 8 5 2 8 3 b c 1 0 5 7 a a a 
a a 8 3 a a a a b a 8 5 5 2 a a 
a a a a e a c 6 e a 8 3 b 8 2 a 
a a a c 5 4 7 9 3 a a a a a 8 6 
a a a 9 5 1 7 c 4 4 6 c 0 0 4 3 
a a a a b a 9 5 5 5 5 7 a a b a 
a a 8 6 a a 8 5 1 5 1 5 2 a a a 
a a 8 5 2 8 2 f a b a b a a a a 
a a a b 8 6 8 3 a a a a e a a a 
a 8 2 e a f a 8 2 a 8 4 5 4 4 2 
a a 8 5 4 5 2 a 8 4 0 5 5 5 7 a 
e e c 5 5 7 c 6 c 5 4 5 5 5 5 6 
