9 5 5 5 5 5 5 5 5 5 5 5 5 5 1 3 
a 9 5 1 7 9 3 9 1 5 5 5 1 7 a a 
8 6 9 6 9 6 a a 8 7 9 3 a b a a 
e 9 6 9 6 9 2 a e 9 6 a a a a a 
9 6 9 6 9 6 e a b c 3 c 2 a a a 
a 9 6 9 0 5 3 a 8 7 c 3 e a a a 
8 6 9 6 a 9 2 a c 1 7 c 3 a a a 
e 9 0 5 0 6 a 8 3 c 1 5 4 2 a a 
9 6 a 9 6 9 6 c 6 d 4 5 7 c 6 a 
8 5 4 4 5 6 b 9 3 9 3 9 3 9 1 2 
8 3 b b 9 1 2 a a a a a a a a a 
a 8 2 8 2 a a a a a a a a a a a 
a a 8 2 8 2 a a a a a a a a a a 
a 8 2 8 2 a a a a a a a a a a a 
8 2 8 2 8 2 a a a a a a a a a a 
e c 6 c 6 c 4 6 c 6 c 6 c 6 c 6 
