9 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 
8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 
8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 
8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 
c 4 4 4 4 4 4 4 4 4 4 0 0 0 0 2 
9 5 5 5 5 5 5 5 5 3 b 8 0 0 0 2 
8 1 3 9 3 9 5 5 5 2 a 8 0 0 0 2 
a a a a a 8 7 9 3 a a 8 0 0 0 2 
a a a a a 8 7 8 6 a a 8 0 0 0 2 
a a a a a 8 7 8 7 a a 8 0 0 0 2 
a 8 2 a c 6 9 6 9 2 a 8 0 0 0 2 
8 2 a 8 3 9 6 9 2 a a 8 0 0 0 2 
a 8 2 a c 6 9 2 a a a 8 0 0 0 2 
a a a 8 5 3 a e a 8 2 8 0 0 0 2 
a a e c 5 4 4 7 c 6 a 8 0 0 0 2 
e c 5 5 5 5 5 5 5 5 6 c 4 4 4 6 
