9 5 5 5 5 1 5 5 5 5 5 5 5 5 5 3 
a 9 3 9 7 8 1 7 9 5 1 1 5 5 7 a 
a a c 0 3 a c 3 8 5 2 c 1 5 3 a 
a c 3 a c 2 9 2 a d 0 7 8 3 e a 
8 3 8 6 9 6 e c 0 7 8 1 2 c 3 a 
a a c 5 6 d 5 5 6 d 6 e c 7 a a 
a 8 5 7 9 3 9 5 5 1 5 3 b 9 2 a 
a c 3 9 2 a a 9 3 a b a a a a a 
a 9 2 a a a 8 4 6 a a 8 2 e a a 
a a c 2 e a c 5 5 6 c 2 c 1 6 a 
a c 5 2 9 4 5 1 3 9 7 8 1 4 3 a 
a 9 5 0 0 5 1 6 8 6 9 6 c 1 6 a 
a a 9 2 c 3 a d 2 9 4 1 1 4 3 a 
a 8 6 c 3 c 4 3 c 2 9 6 a 9 4 2 
a 8 7 d 4 5 5 4 5 4 4 5 0 4 3 a 
e c 5 5 5 5 5 5 5 5 5 5 4 5 6 e 
