9 5 1 5 5 1 1 1 1 1 1 5 5 5 5 7 
a 9 4 5 3 a a a a a 8 5 5 5 5 3 
a c 5 1 4 0 4 6 a e 8 5 5 5 3 a 
8 5 5 6 b 8 5 3 8 5 4 5 5 5 6 a 
8 5 5 5 2 c 7 a e d 1 5 1 5 3 a 
a b 9 5 0 5 5 6 9 7 c 3 8 3 a a 
a a a 9 6 9 5 3 a 9 3 a a a a a 
a 8 6 a 9 6 b 8 2 a a a a 8 4 2 
a a 9 4 4 3 a c 4 6 a a 8 4 5 2 
a c 2 9 3 c 2 b b 9 4 2 a 9 5 2 
8 7 c 2 c 3 c 2 8 2 9 2 8 6 9 2 
a 9 5 2 9 4 7 a a 8 6 8 6 9 6 a 
a a 9 2 a d 1 6 a c 1 2 9 2 9 2 
8 6 a e c 3 c 3 a b a e a a a a 
a 9 6 9 3 e d 6 c 4 4 7 a a a a 
e c 5 6 c 5 5 5 5 5 5 5 4 4 4 6 
