9 1 3 9 5 5 5 5 5 5 5 5 1 5 5 3 
a a a c 5 5 5 5 5 1 7 9 4 5 3 a 
a a c 5 1 7 9 5 5 6 9 4 1 3 a a 
8 6 9 3 c 3 c 5 5 3 c 1 6 a a a 
a 9 6 c 3 c 5 5 5 2 9 4 1 6 e a 
a c 3 9 4 5 5 5 3 a c 1 6 9 3 a 
a 9 6 c 1 5 1 5 6 c 7 c 3 a a a 
8 6 9 3 8 3 a 9 3 d 5 5 4 2 a a 
8 5 2 a e 8 2 c 4 5 5 5 5 6 a a 
a 9 6 c 3 a 8 3 9 5 3 9 3 d 6 a 
a c 3 9 6 e a 8 0 5 2 a c 5 3 a 
a 9 6 a 9 3 a a 8 3 e a 9 5 2 a 
a 8 1 2 a a 8 4 2 8 3 8 4 3 a a 
a a a 8 2 a a 9 6 a c 4 5 2 c 2 
a a a a a 8 2 c 3 8 5 5 1 4 3 a 
e c 4 6 c 6 c 5 4 4 5 7 c 5 4 6 
