9 5 5 5 5 5 5 5 5 5 5 5 5 5 1 3 
a 9 3 9 5 5 3 d 1 5 5 5 5 5 6 a 
a a a c 3 d 4 3 8 5 3 d 1 5 3 a 
a a a b c 5 3 a e d 0 7 c 3 a a 
a a c 4 5 3 a c 1 7 c 5 3 a a a 
a c 3 b 9 6 8 3 c 1 7 b a a a a 
a b c 2 c 3 a c 3 8 1 6 a a a a 
a 8 3 c 3 c 2 9 2 a 8 3 c 6 a a 
a a a d 4 3 e c 6 a a 8 1 3 a a 
a a a 9 3 c 1 7 d 6 c 6 e a a a 
a a a a c 3 c 3 9 1 7 b d 2 a a 
a a a a 9 6 d 4 6 a d 0 3 c 2 a 
a a a a c 5 5 5 5 6 9 6 a b e a 
8 2 a c 5 5 5 5 5 5 4 7 c 4 3 a 
a a c 5 5 5 5 5 5 5 5 5 5 5 6 a 
e c 5 5 5 5 5 5 5 5 5 5 5 5 5 6 
