b 9 5 5 5 5 7 9 5 5 5 5 7 9 5 3 
a a d 5 5 5 5 0 5 5 1 3 d 2 b a 
a 8 1 5 1 5 7 a d 7 a c 3 a a a 
8 2 a f 8 5 1 4 5 5 2 d 2 a e a 
a a c 5 2 b a d 5 7 8 7 c 0 5 2 
a 8 5 3 a e c 5 5 5 4 3 f a b a 
a a b 8 6 b 9 5 5 5 5 0 7 e a a 
a e a c 5 6 8 1 3 d 5 4 5 7 e e 
a b a 9 5 3 a c 6 d 5 1 5 7 b b 
a a e 8 3 e c 5 5 5 5 0 7 b a a 
a 8 5 6 a b 9 5 1 7 9 6 f a e a 
a a 9 5 2 e a f a f a f 9 0 5 2 
8 2 a f c 5 4 3 c 1 0 7 a a b a 
a 8 4 5 5 5 7 a d 2 a d 2 a a a 
a a d 5 5 5 5 0 5 6 c 5 6 a e a 
e c 5 5 5 5 7 c 5 5 5 5 7 c 5 6 
