9 5 5 5 7 9 5 5 5 5 1 5 5 5 1 3 
a 9 5 3 b a 9 5 5 3 a 9 5 5 2 a 
8 6 b c 2 a a d 7 a e 8 7 b c 2 
a 9 4 3 a a a d 7 a 9 2 9 4 3 a 
a a b a 8 6 c 7 d 6 a a a b a a 
8 6 a a e f 9 5 5 1 6 e a a a a 
a b a c 3 f c 5 3 e f 9 6 e a a 
a e 8 5 4 3 b 9 2 9 1 4 7 9 6 a 
8 5 2 9 7 a a c 6 a a d 3 8 3 a 
a b a a d 2 8 5 5 6 8 7 a a a a 
a a e a f a a 9 5 5 2 f a e 8 2 
a a b a b 8 2 a 9 5 2 b a b a a 
8 2 c 4 6 a 8 6 a f a c 4 6 a a 
a 8 5 5 5 6 a 9 4 5 4 5 5 5 6 a 
a a 9 5 5 5 6 a d 5 7 9 5 5 3 a 
e c 4 5 5 5 5 4 5 5 5 6 d 7 c 6 
