9 5 1 5 1 5 5 5 1 1 5 5 5 5 1 3 
8 5 2 9 6 9 7 9 2 a d 1 5 1 2 a 
c 1 6 e 9 6 9 6 a a 9 4 1 2 a a 
9 4 3 9 6 9 6 9 2 a c 1 2 a a a 
c 1 6 a 9 6 9 6 a e 9 2 8 2 a a 
9 4 3 c 4 3 8 5 6 9 2 8 6 a a a 
c 1 6 9 5 6 e 9 3 a c 2 9 6 a a 
9 4 3 c 5 5 5 4 4 4 5 4 4 3 a a 
a 9 2 d 5 3 9 5 5 3 9 3 b 8 2 a 
a a a 9 5 6 a 9 7 a a a a a a a 
a a a c 5 3 a c 5 6 a a a e e a 
a e 8 5 5 6 c 5 5 5 2 a a b 9 2 
8 5 4 5 5 5 5 5 5 5 2 a a a a a 
8 1 5 5 1 5 5 1 1 5 6 a a a a a 
a c 5 3 a 9 5 6 a 9 7 c 6 c 4 2 
e d 5 4 4 4 5 5 4 4 5 5 5 5 5 6 
