b 9 5 5 5 3 9 5 5 5 1 5 1 5 1 3 
a a 9 5 5 4 4 1 5 5 4 5 0 5 2 a 
a 8 2 9 5 5 5 4 5 5 5 7 c 1 6 a 
a a a a b 9 1 1 1 1 5 1 3 8 3 a 
8 6 c 6 a a a a a 8 3 a a a a a 
a 9 1 5 2 a e c 6 e a e 8 4 0 2 
a a a 9 6 a 9 5 5 3 e 9 4 3 a a 
a 8 4 4 5 4 2 9 3 8 5 6 9 6 a a 
a 8 1 1 5 1 0 4 6 8 5 3 c 3 a a 
a a a c 3 a c 5 5 6 b c 1 6 a a 
a c 4 5 2 a b 9 3 b a b 8 1 0 2 
8 3 9 3 8 6 a a a 8 6 a a a a a 
a a a a c 5 4 4 4 4 5 4 6 8 6 a 
a a a c 5 5 5 1 5 5 5 7 9 4 3 a 
a 8 2 9 5 5 1 4 5 5 1 5 0 5 2 a 
e e c 4 5 5 4 5 5 5 4 5 4 5 4 6 
