9 3 9 7 d 1 5 5 5 5 1 1 5 1 5 3 
a a 8 3 9 2 9 3 9 3 a 8 5 0 5 2 
8 2 a a a 8 2 8 2 a 8 6 9 6 9 2 
a a a a c 2 8 2 a 8 6 9 6 9 6 a 
8 2 a a b c 2 8 0 6 9 6 9 6 9 2 
a a a a c 5 4 2 a 9 6 9 6 9 6 a 
8 2 a a 9 7 9 4 4 6 9 6 9 6 9 2 
a 8 6 a c 3 a 9 1 3 a b a 9 6 a 
8 2 9 2 9 2 a c 6 c 4 4 4 4 5 6 
a a a c 2 a c 1 3 9 3 9 3 9 3 b 
8 2 8 3 c 0 7 a 8 2 8 2 8 2 8 2 
a a a c 3 c 3 8 2 8 2 8 2 8 2 a 
8 2 8 3 c 3 a e c 6 c 6 c 6 c 2 
a a a c 3 c 2 9 3 9 3 9 3 9 3 a 
8 2 8 5 0 5 2 a 8 2 8 2 8 2 8 2 
e e c 5 4 5 4 4 6 c 6 c 6 c 6 e 
