9 5 5 5 1 5 5 1 5 5 5 1 5 5 5 3 
8 5 5 5 2 9 5 0 5 5 5 6 9 5 3 a 
a 9 5 7 c 4 3 c 5 5 5 5 4 7 a a 
a a 9 5 5 5 4 5 5 5 7 d 5 5 2 a 
a a c 5 5 5 3 9 5 5 1 1 3 9 6 a 
8 2 9 5 5 5 6 a d 5 2 a a a 9 6 
a a c 1 5 7 b c 1 5 2 a a a a b 
e 8 5 2 9 3 a 9 2 9 0 2 8 2 a a 
b a b a a a a c 6 a a a a a 8 2 
a e a a a a 8 5 5 6 a a a a a a 
8 5 2 a a a c 5 5 1 4 4 4 4 2 a 
8 3 a 8 2 c 1 1 7 c 5 5 1 1 6 a 
a a a a c 5 6 a 9 1 3 b a a 9 2 
a a 8 4 5 3 9 6 e a c 2 a a a a 
a a c 5 5 2 c 5 5 0 7 c 4 6 a a 
e c 5 5 5 4 5 5 7 c 5 5 5 5 4 6 
