9 5 5 5 5 5 5 5 5 5 5 5 5 5 1 7 
c 1 5 1 3 9 5 5 5 5 5 1 7 9 4 3 
9 4 1 2 a c 5 5 5 3 9 6 9 6 9 2 
c 1 6 c 2 9 5 1 5 6 a 9 6 9 6 a 
d 0 7 d 2 c 3 c 1 7 c 6 d 0 7 a 
d 0 7 9 6 d 0 5 6 9 5 3 d 0 7 a 
d 0 7 c 3 d 0 1 7 c 3 a d 0 7 a 
d 4 3 9 6 b e 8 3 d 2 a d 4 3 a 
9 3 a a 9 4 3 c 2 9 2 c 3 b a a 
a a a 8 6 9 2 d 4 6 e b 8 2 a a 
a c 6 e 9 6 8 3 9 3 9 2 e c 6 a 
a d 3 9 6 9 6 c 2 8 2 8 3 b b a 
a b 8 6 9 6 9 5 6 e c 6 c 2 a a 
a 8 6 9 6 9 2 9 3 9 3 9 3 8 2 a 
8 0 3 8 3 a 8 2 8 2 8 2 a a a a 
e e c 6 c 4 6 c 6 c 6 c 4 6 c 6 
