9 5 5 5 5 5 5 5 5 5 5 5 5 5 1 3 
a 9 1 5 1 5 3 d 1 5 5 5 5 5 6 a 
a a c 1 4 3 c 3 c 5 5 1 1 1 7 a 
a c 3 c 3 c 3 a 9 5 5 6 a c 3 a 
a b c 3 c 3 c 2 c 5 5 1 6 9 6 a 
a 8 3 c 3 c 3 e 9 5 3 c 3 c 3 a 
a a c 3 c 3 c 5 4 1 6 9 6 9 6 a 
8 4 7 c 5 6 b 9 3 a 9 6 b c 3 a 
a 9 3 9 3 b a 8 6 8 6 b a 9 6 a 
a a a a a a c 4 5 6 b a a c 3 a 
a a a a a a b 9 5 5 6 a a 9 6 a 
a a a a a a 8 2 9 5 5 6 a c 3 a 
a a a a a a a a a 9 5 5 6 9 6 a 
8 2 a a a a a a a 8 3 9 3 c 3 a 
a a c 6 c 6 a a a a c 6 c 5 6 a 
e c 5 5 5 5 4 4 4 4 5 5 5 5 5 6 
