9 5 5 7 9 5 5 1 5 5 1 5 5 1 1 3 
a b 9 3 a b 9 0 7 d 0 7 9 6 a a 
8 2 a a 8 0 2 8 5 5 0 5 4 7 a a 
a a a 8 2 a e e b 9 2 b d 3 a a 
a a a a e c 5 5 4 6 8 4 5 2 a a 
a a a a b 9 5 5 3 b a b b a a a 
a a a a a 8 5 5 4 2 a a 8 2 a a 
a a a a a c 3 9 1 6 e a a a a e 
a a a a a 9 6 c 6 9 3 a a a c 3 
a a a a a c 3 9 5 6 e a a a 9 2 
a a a a a 9 6 c 5 5 5 2 a 8 2 a 
a 8 0 2 a a b 9 5 5 5 6 a a a a 
a e e a a c 4 4 5 5 5 5 6 e a a 
8 3 b c 4 5 5 5 5 5 5 5 5 5 2 a 
a c 4 5 5 3 9 3 9 3 d 5 5 5 6 a 
e d 5 5 5 4 6 c 6 c 5 5 5 5 5 6 
