9 5 5 5 5 5 5 5 5 5 5 5 5 5 5 3 
a 9 5 3 d 3 d 1 5 3 d 5 5 3 9 2 
8 2 9 4 5 4 3 c 1 4 5 5 5 0 2 a 
a a a 9 3 d 4 5 4 3 b d 3 a 8 2 
a a a a 8 3 d 5 1 4 4 3 a a a a 
8 2 8 2 a 8 5 5 4 5 3 a c 0 0 2 
a 8 2 a a a 9 5 5 3 c 2 9 2 a a 
a a 8 0 2 a a 9 3 a 9 2 a 8 2 a 
a 8 2 a a a a c 4 2 a 8 0 2 a a 
a a a a a a c 5 1 6 a a a 8 4 2 
a 8 0 2 a a d 1 4 5 2 c 0 2 9 2 
a a a a 8 4 5 4 5 5 4 5 2 8 2 a 
a 8 2 c 2 b d 5 5 5 5 5 4 2 a a 
a a a d 4 4 1 5 5 5 5 5 3 e a a 
a a c 5 5 3 e d 1 5 5 5 4 5 4 2 
e c 5 5 5 4 5 5 4 5 5 5 5 5 5 6 
