9 5 5 5 5 5 5 5 1 5 5 5 5 5 5 3 
a 9 5 5 3 d 5 5 4 5 5 5 3 d 3 a 
8 2 9 5 4 5 5 5 5 5 5 5 4 3 8 2 
a a 8 1 5 5 5 5 5 5 3 b b 8 2 a 
a a a 8 1 3 d 5 5 5 4 0 2 a a a 
a 8 2 a a 8 5 5 5 5 3 a a a 8 2 
a a a a a a 9 5 5 3 8 2 a a a a 
8 2 a c 2 a a 9 3 a a a a a a a 
a a a 9 0 0 2 c 2 8 2 8 0 2 a a 
8 2 a a a a a d 0 6 a a a 8 2 a 
a a a a a a c 5 4 5 6 8 2 a a a 
a a a a a c 5 5 5 3 d 6 a a a a 
8 4 2 c 4 5 1 5 5 4 5 5 6 8 0 2 
a 9 2 d 5 5 6 9 5 5 5 5 5 6 a a 
8 2 c 5 3 d 5 0 5 5 3 d 5 5 2 a 
e c 5 5 4 5 5 4 5 5 4 5 5 5 4 6 
