d 5 1 1 5 5 5 1 5 7 9 1 5 1 1 3 
9 3 a 8 5 5 5 4 5 5 6 8 3 a a a 
a a a a 9 7 9 5 3 9 3 a a a a a 
a a a 8 2 9 2 9 2 a a a a a e a 
8 4 6 a a a a a a e c 2 e c 5 2 
a 9 3 a 8 6 c 6 a d 5 2 9 1 3 a 
c 2 a a a 9 1 5 4 1 3 a a a a a 
b e a a a a a 9 1 6 a a a a c 6 
a 9 6 c 6 a a c 6 9 2 a a c 1 3 
8 2 9 5 7 c 4 5 5 6 a a e b a a 
a e a 9 1 5 5 5 5 3 c 6 9 6 a a 
c 1 2 a a d 5 1 5 2 d 5 2 9 4 2 
9 2 8 2 c 5 5 6 9 4 5 5 2 a b a 
a a a 8 5 5 5 5 0 5 5 5 2 a a a 
a a e 8 5 5 5 5 0 5 5 7 a e a a 
e c 5 4 5 5 5 5 4 5 5 5 4 5 4 6 
