b 9 1 5 5 5 5 5 5 5 5 5 5 5 5 3 
a a a b 9 3 d 5 5 5 5 5 5 1 3 a 
a a a a a 8 5 5 5 5 3 b b a a a 
a a a a a a 9 5 5 5 6 a a a a a 
8 2 a a a a 8 5 1 5 3 a a a a a 
a a a a a a a d 6 b a a a a a a 
a a a 8 2 a 8 5 5 2 a a a a a a 
a a a a a a a 9 1 2 a c 0 0 4 2 
8 2 a a a a a c 6 e a d 2 8 7 a 
a a 8 2 a a 8 5 5 5 2 b a a b a 
a a a a a a c 5 5 5 4 4 6 c 2 a 
a a a e a c 5 5 5 5 1 5 5 3 a a 
8 2 8 5 4 5 5 5 1 5 4 5 5 6 a a 
a a 8 5 5 5 5 5 4 5 5 5 5 5 2 a 
a a c 5 5 5 5 5 1 5 5 5 5 5 6 e 
e c 5 5 5 5 5 5 4 5 5 5 5 5 5 7 
