9 5 5 5 1 1 5 5 5 5 1 5 5 5 5 3 
a 9 5 5 4 4 5 5 5 5 4 5 5 5 3 a 
a a 9 5 1 5 5 5 5 5 5 1 5 3 a a 
a a a 9 6 9 5 5 5 5 3 c 3 a a a 
a a 8 6 9 6 9 5 5 3 c 3 c 2 a a 
8 2 a 9 6 9 6 9 3 c 3 c 3 a 8 2 
a a a a 9 4 1 6 c 3 c 3 a 8 2 a 
a a 8 6 a 9 6 9 1 4 3 c 2 a a a 
a a 8 3 a 8 3 c 6 9 6 9 2 a a a 
a a a a c 2 c 3 9 6 9 6 a a 8 2 
8 2 a c 3 c 3 c 6 9 6 9 6 a a a 
a a 8 3 c 3 c 5 5 6 9 6 9 2 a a 
a a a c 3 c 5 5 5 5 6 9 6 a a a 
a a a f c 5 5 5 5 5 5 4 5 6 a a 
a a c 5 5 5 5 5 5 5 5 5 5 5 6 a 
e c 5 5 5 5 5 5 5 5 5 5 5 5 5 6 
