9 5 1 5 5 5 5 5 5 5 5 5 5 5 5 3 
a 9 6 d 1 5 5 5 3 9 5 1 5 1 3 a 
a a 9 3 c 1 5 7 c 4 3 8 3 a a a 
a a a a 9 4 1 7 9 5 4 2 a 8 2 a 
8 2 a 8 4 1 6 f c 1 5 4 2 a a a 
a 8 2 a b a d 5 5 4 5 3 e a a a 
a a a a a a 9 5 5 1 3 8 3 a 8 2 
a a a a a a a 9 3 a a a a 8 2 a 
a 8 2 e a a c 4 6 e c 2 a a a a 
a a 8 3 8 6 9 5 5 3 b a a a a a 
a a a 8 6 9 4 5 5 6 8 4 2 a a a 
a a a a 9 4 5 5 5 5 6 b a 8 0 2 
a 8 2 a 8 5 5 5 5 5 3 e a a a a 
a a 8 0 4 1 5 5 5 7 8 5 2 a a a 
a a a a b 8 5 5 5 5 4 5 2 a a a 
e c 6 e e c 5 5 5 5 5 7 e c 6 e 
