b 9 3 9 5 1 1 5 3 9 1 5 5 5 1 7 
a a a a b a a b a a c 1 5 5 0 3 
a a 8 2 8 2 a a a 8 5 6 9 5 2 a 
a a a 8 2 a e 8 4 4 7 9 4 3 a a 
8 2 a a e 8 5 4 5 7 9 6 9 4 2 a 
a 8 6 c 5 4 5 1 7 d 2 9 4 5 2 a 
a 8 5 5 5 5 1 6 d 1 4 4 5 7 a a 
8 4 5 5 5 5 6 9 1 2 d 5 5 5 6 e 
8 1 5 5 5 5 3 c 6 a d 5 5 5 3 b 
a 8 5 5 5 5 4 3 d 4 1 1 5 7 a a 
a 8 3 9 5 1 5 4 7 d 2 c 1 5 2 a 
8 2 a a b 8 5 1 5 7 c 3 c 3 a a 
a a a 8 2 a b 8 1 1 7 c 1 4 2 a 
a a 8 2 8 2 a a a 8 5 3 c 5 2 a 
a a a a e a a e a a 9 4 5 5 0 6 
e c 6 c 5 4 4 5 6 c 4 5 5 5 4 7 
