9 5 5 5 5 5 5 5 5 5 5 5 5 5 1 3 
a 9 3 9 3 9 3 9 5 1 5 3 d 1 2 a 
a a 8 2 8 2 8 2 9 6 9 6 9 2 8 2 
a 8 6 c 6 c 6 e a 9 6 9 2 8 6 a 
a 8 3 b 9 3 9 3 a c 1 2 8 2 9 6 
a a 8 2 a a a a a 9 2 8 6 e c 3 
a 8 2 c 6 c 6 c 6 a 8 6 b 9 3 a 
a a c 1 7 d 3 9 3 8 6 9 2 a a a 
a c 3 c 3 d 0 4 2 c 5 6 a a a a 
a 9 4 3 c 3 8 3 8 7 9 5 6 a a a 
a c 1 6 9 6 a 8 6 9 6 9 3 a a a 
a 9 6 9 6 9 2 8 3 c 5 6 a a a a 
a a 9 6 9 6 c 2 c 3 9 3 a a a a 
a a 8 5 6 9 5 6 9 6 a a a a a a 
a a e 9 5 4 5 5 6 9 6 c 6 a a a 
e c 5 4 5 5 5 5 5 4 5 5 5 6 c 6 
