9 3 9 3 9 3 9 5 1 5 5 1 5 5 1 3 
a a a a a 8 2 9 2 9 5 0 5 5 2 a 
a 8 2 a 8 2 a a 8 4 1 4 5 3 c 2 
8 6 a a a a a 8 6 9 4 5 1 0 5 2 
c 3 a a a a a a 9 4 5 5 2 8 5 6 
9 6 a a a a a 8 4 5 1 3 a a 9 3 
c 3 8 2 a a a c 5 3 a c 6 c 6 a 
9 6 a 8 2 a a 9 3 a 8 5 1 5 3 a 
c 3 a a 8 4 6 c 2 a c 1 4 1 6 a 
9 6 a 8 6 9 3 d 2 c 3 c 1 4 3 a 
c 3 c 6 9 6 c 3 c 3 c 3 c 1 6 a 
9 4 5 1 2 9 3 c 3 c 3 c 3 c 3 a 
c 3 9 2 a a 8 3 c 3 c 3 c 3 a a 
9 2 a 8 2 a a c 3 c 3 c 3 c 2 a 
a a a a a a 8 5 4 5 4 3 c 5 6 a 
e c 4 4 4 6 c 5 5 5 5 4 5 5 5 6 
