9 5 5 5 5 5 5 5 5 1 5 5 5 5 1 3 
a 9 1 1 1 7 9 3 b a b b b 9 2 a 
a a a a 8 5 6 c 4 6 a a 8 2 8 2 
a a a a 8 5 5 1 5 5 0 0 2 8 6 a 
a a c 0 6 9 5 4 5 5 2 a c 2 9 6 
a 8 7 a d 4 5 5 5 5 4 4 5 6 c 3 
a 8 3 c 1 3 9 5 1 1 5 7 9 1 3 a 
a a c 7 e a a 9 2 e d 5 6 a a a 
a c 3 d 1 6 a c 6 9 5 3 d 2 a a 
a 9 4 3 c 3 8 5 5 6 9 6 d 2 a a 
a c 1 6 9 6 a 9 7 b a 9 5 6 a a 
a 9 6 9 6 9 0 0 7 a e a d 3 a a 
a a 9 6 9 6 a c 3 8 3 8 3 8 2 a 
a a 8 5 6 9 6 d 2 e a a c 2 a a 
a a e 9 5 4 5 5 2 9 4 6 b a a a 
e c 5 4 5 5 5 5 4 4 5 5 4 6 c 6 
