9 1 1 3 9 5 5 5 5 5 5 5 5 5 1 3 
a a a a a 9 5 5 3 d 1 5 5 5 6 e 
a a a a a c 3 9 6 9 4 1 5 1 5 3 
a 8 2 a 8 7 a a d 0 5 4 5 4 3 a 
a a 8 2 a 9 2 c 3 c 5 5 3 d 4 2 
a a a a a a e 9 6 9 3 f a 9 5 6 
a a a a a 8 3 c 5 6 c 5 6 a 9 3 
a 8 0 2 a e a 9 1 5 5 5 5 4 6 a 
a a a a a 9 6 c 6 9 5 1 5 5 3 a 
a 8 2 a a 8 1 5 3 c 3 c 3 9 2 a 
a a 8 2 a a e 9 4 3 c 3 c 2 a a 
a a e a a a 9 6 b c 3 c 3 c 2 a 
a c 1 4 6 8 6 d 0 7 c 3 c 3 c 2 
a d 6 d 1 2 d 1 4 1 7 c 3 c 3 e 
8 3 d 1 6 8 5 4 5 4 1 7 c 3 c 3 
e c 5 4 5 4 5 5 5 5 4 5 7 c 5 6 
