9 5 3 9 3 9 3 9 3 9 3 9 3 9 5 3 
c 3 c 6 c 6 c 6 c 6 c 6 c 6 9 6 
9 6 9 3 9 3 9 3 9 3 9 3 9 3 c 3 
c 3 a c 6 c 6 c 6 c 6 c 6 a 9 6 
9 6 c 3 9 3 9 3 9 3 9 3 9 6 c 3 
c 3 9 6 a c 6 c 6 c 6 a c 3 9 6 
9 6 c 3 c 3 9 5 5 3 9 6 9 6 c 3 
c 3 9 6 9 6 a 9 3 a c 3 c 3 9 6 
9 6 c 3 c 3 c 4 6 a 9 6 9 6 c 3 
c 3 9 6 9 6 9 5 5 6 c 3 c 3 9 6 
9 6 c 3 c 3 a 9 3 9 3 a 9 6 c 3 
c 3 9 6 9 6 c 6 c 6 c 6 c 3 9 6 
9 6 c 3 a 9 3 9 3 9 3 9 3 a c 3 
c 3 9 6 c 6 c 6 c 6 c 6 c 6 9 6 
9 6 8 3 9 3 9 3 9 3 9 3 9 3 c 3 
e d 6 c 6 c 6 c 6 c 6 c 6 c 5 6 
