9 5 1 5 1 5 5 5 3 9 5 5 1 5 5 3 
a f a f a f b 9 6 c 5 3 a d 3 a 
c 3 a d 0 7 a c 5 5 5 6 c 5 2 a 
f a a f a f a 9 5 5 5 3 9 5 2 a 
9 6 a d 0 5 6 a d 1 7 a c 7 a a 
a f a f a f d 4 5 2 d 4 5 5 2 a 
c 3 a 9 4 5 7 d 5 2 9 5 5 5 6 a 
f a a a 9 5 5 1 3 a c 5 5 5 3 a 
9 6 a e c 1 7 c 6 a 9 5 1 7 a a 
a f a b b c 3 d 3 a a d 4 5 6 a 
c 3 a a 8 3 c 3 a a c 5 5 5 3 a 
9 2 a a a a b c 2 c 5 5 5 5 2 a 
a a a a a c 4 7 c 5 5 5 1 7 a a 
a a a a 8 5 5 5 5 5 5 5 6 9 6 a 
a a a a c 5 5 5 5 5 5 5 5 6 f a 
e c 6 c 5 5 5 5 5 5 5 5 5 5 5 6 
