b 9 1 5 3 9 1 1 5 5 5 5 5 5 1 3 
8 6 a d 0 6 e a d 3 b 9 5 1 6 a 
c 1 0 1 0 7 9 6 9 4 0 6 9 6 d 2 
d 2 e a 8 7 a b a 9 4 1 4 3 d 2 
9 4 5 0 4 1 0 6 8 4 1 6 9 2 d 2 
8 3 9 4 1 6 c 3 e 9 6 9 2 a d 2 
a 8 4 1 2 b 9 6 9 4 5 6 c 6 9 6 
8 4 5 6 c 4 6 9 2 d 5 5 5 1 4 7 
c 5 3 b b b b c 6 d 3 9 5 0 5 3 
9 1 0 0 0 0 0 3 d 3 8 4 5 0 7 a 
a a a a a a a a 9 6 a 9 5 0 5 2 
a 8 4 4 0 0 0 6 c 3 c 0 5 0 5 2 
a a 9 3 a a 8 7 9 6 d 0 5 0 5 2 
a a e a a e c 3 c 5 3 8 5 0 5 2 
8 0 5 6 8 3 9 2 9 5 6 8 5 0 5 2 
e c 5 5 6 c 6 c 4 5 5 4 5 4 5 6 
